Sequence,Country Code,Geographic Area,Reference Date,Population Subgroup,Subpop Code,Sex,Age,Source ID,Comments,Data Type,Country,Site Name,Author,Year,Title,Publication Information,Virus Type,NO_CASES,NO_DEATHS,PREV_RATE,INC_RATE,Specimen Type,Test Type,SAMPSIZE
9,WZ,Not specified,1985(?),Various groups,O,B,ALL,S0001,,P,Swaziland,Not specified,"Sher, S.",1985,Sero Epidemiological Studies of HTLV-III/LAV Infections in Southern African Countries,"International Symposium on African AIDS, Brussels, Nov. 22-23, Poster.",HIV1,0,-1,0,N/A,B,"ELISA, IFA",22
7,WZ,Not specified,1986,Mineworkers,N,M,ALL,B0008,Mineworkers working in South Africa.,P,Swaziland,Not specified,"Brink, B. A., R. Sher, L. Clausen",1987,HIV Antibody Prevalence in Migrant Mineworkers in South Africa during 1986,"III International Conference on AIDS, Washington, D.C., 6/1-5, Abstract M.8.2.",HIV,1,-1,0.05,N/A,B,"ELISA, IFA, WB",1885
4,WZ,Not specified,1990,Students,N,B,ALL,S0394,,P,Swaziland,Not specified,Swaziland National AIDS Prevention and Control Programme,1990,Sero-Survey 1990 Summary Results,World Health Organization.,HIV,2,-1,0.34,N/A,B,UNK,576
2,WZ,Not specified,1990,Prisoners,J,B,ALL,S0394,,P,Swaziland,Not specified,Swaziland National AIDS Prevention and Control Programme,1990,Sero-Survey 1990 Summary Results,World Health Organization.,HIV,15,-1,2.75,N/A,B,UNK,545
1,WZ,Not specified,1990,Pregnant women,G,F,ALL,S0394,,P,Swaziland,Not specified,Swaziland National AIDS Prevention and Control Programme,1990,Sero-Survey 1990 Summary Results,World Health Organization.,HIV,11,-1,2.35,N/A,B,UNK,468
3,WZ,Not specified,1990,In-pts.,L,B,ALL,S0394,,P,Swaziland,Not specified,Swaziland National AIDS Prevention and Control Programme,1990,Sero-Survey 1990 Summary Results,World Health Organization.,HIV,8,-1,6.83,N/A,B,UNK,117
5,WZ,Not specified,1990,STI pts.,S,B,ALL,S0394,,P,Swaziland,Not specified,Swaziland National AIDS Prevention and Control Programme,1990,Sero-Survey 1990 Summary Results,World Health Organization.,HIV,7,-1,2.19,N/A,B,UNK,319
11,WZ,Not specified,1987,Mineworker STI pts.,S,M,ALL,J0018,Mineworkers working in South Africa.,P,Swaziland,Not specified,"Jochelson, K., M. Mothibeli, J. P. Leger",1991,Human Immunodeficiency Virus and Migrant Labor in South Africa,"International Journal of Health Services, vol. 21, no. 1, pp. 157-173.",HIV,2,-1,0.24,N/A,B,UNK,846
1,WZ,Not specified,1991(?),New TB pts.,U,B,ALL,W0075,Regional hospital in eastern Swaziland.  Plumonary TB pts.,P,Swaziland,Not specified,"Wright, J., H. Ford",1991,Tuberculosis and HIV Infection,"British Medical Journal, vol. 302, p. 1603.",HIV,21,-1,29.17,N/A,B,"ELISA, WB",72
96,WZ,Manzini region,1992,STI pts.,S,F,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel sites: St. Theresa & FLAS clinics.  Included 2 children, age range 10-14/ 1 HIV+.  Oct. - Nov. 92.",P,Swaziland,"St. Theresa, FLAS clinics","Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,44,-1,12.98,N/A,BW,UNK,339
