NO_CASES,NO_DEATHS,PREV_RATE,R_ID
0,-1,0,1
1,-1,0.05,2
2,-1,0.34,3
15,-1,2.75,4
11,-1,2.35,5
8,-1,6.83,6
7,-1,2.19,7
2,-1,0.24,8
21,-1,29.17,9
44,-1,12.98,10
14,-1,12.07,11
-1,-1,2.6,12
13,-1,6.19,13
82,-1,9.86,14
5,-1,20.82,15
19,-1,10.05,16
2,-1,2.04,17
86,-1,14.1,18
7,-1,4.09,19
28,-1,3.91,20
-1,-1,8.9,21
15,-1,8.11,22
12,-1,4.3,23
21,-1,7.22,24
8,-1,9.88,25
42,-1,15.5,26
7,-1,4.17,27
165,-1,11.08,28
83,-1,12.63,29
14,-1,19.44,30
-1,-1,5.3,31
9,-1,18.75,32
43,-1,10.67,33
24,-1,11.21,34
1,-1,1.45,35
-1,-1,0.73,36
9,-1,75,37
0,-1,37.5,38
0,-1,41.76,39
0,-1,16.74,40
0,-1,26,41
0,-1,24.61,42
0,-1,27.94,43
0,-1,16.13,44
0,-1,16.79,45
0,-1,28.66,46
0,-1,26.03,47
0,-1,28.68,48
0,-1,28.45,49
0,-1,31.13,50
0,-1,26.73,51
0,-1,15.52,52
0,-1,15.58,53
0,-1,24.79,54
0,-1,20.56,55
0,-1,23.43,56
0,-1,23.7,57
0,-1,32.93,58
0,-1,22.8,59
0,-1,30.3,60
0,-1,47.06,61
0,-1,42.42,62
0,-1,36.79,63
0,-1,33.33,64
0,-1,7.4,65
1,-1,16.67,66
0,-1,50,67
0,-1,15.5,68
0,-1,30.4,69
438,-1,37.76,70
6,-1,33.33,71
0,-1,33.3,72
0,-1,36.8,73
9,-1,30,74
31,-1,25.83,75
2,-1,50,76
0,-1,27,77
0,-1,66.7,78
0,-1,34.5,79
0,-1,29.8,80
0,-1,41.1,81
0,-1,31.4,82
0,-1,42.6,83
0,-1,39.6,84
642,-1,26.01,85
965,-1,36.59,86
499,-1,36.53,87
186,-1,26.31,88
109,-1,27.66,89
101,-1,23.88,90
255,-1,26.53,91
0,-1,38.2,92
0,-1,36.1,93
0,-1,35.2,94
0,-1,40.9,95
0,-1,40.7,96
-1,-1,21.9,97
-1,-1,26.7,98
-1,-1,19.07,99
-1,-1,28,100
0,-1,50.7,101
0,-1,31.5,102
0,-1,47.6,103
552,-1,49.45,104
0,-1,49.8,105
0,-1,48.6,106
149,-1,45.7,107
0,-1,29.6,108
0,-1,47.2,109
0,-1,47.4,110
0,-1,43.5,111
0,-1,49.5,112
0,-1,69,113
202,-1,45.5,114
98,-1,52.68,115
0,-1,34.8,116
0,-1,31.6,117
0,-1,32.7,118
0,-1,47.9,119
0,-1,52.7,120
0,-1,49.2,121
0,-1,39,122
0,-1,44.7,123
0,-1,41.7,124
0,-1,51.1,125
0,-1,58.1,126
7,-1,58.33,127
332,-1,52.77,128
151,-1,47.63,129
154,-1,53.65,130
-1,-1,50,131
-1,-1,75,132
0,-1,80,133
0,-1,34.2,134
0,-1,47.8,135
0,-1,78.6,136
0,-1,51.8,137
0,-1,35.6,138
0,-1,78.9,139
0,-1,71.2,140
0,-1,49.4,141
0,-1,32.3,142
0,-1,41,143
0,-1,50.2,144
0,-1,52.4,145
0,-1,72.9,146
0,-1,80.2,147
0,-1,84.3,148
0,-1,51.3,149
0,-1,48.9,150
0,-1,37.9,151
0,-1,36.6,152
0,-1,35.9,153
0,-1,41.2,154
0,-1,38.6,155
0,-1,40.6,156
0,-1,38.5,157
94,-1,35.07,158
1343,-1,37.23,159
132,-1,42.86,160
244,-1,40.33,161
-1,-1,6,162
6,-1,7.06,163
649,-1,44.45,164
-1,-1,4,165
250,-1,41.95,166
-1,-1,5.5,167
-1,-1,7,168
-1,-1,2,169
1135,-1,42.59,170
333,-1,45.06,171
308,-1,42.48,172
486,-1,40.33,173
-1,-1,5,174
-1,-1,8.7,175
-1,-1,6.5,176
-1,-1,2.5,177
-1,-1,8.1,178
-1,-1,1.8,179
0,-1,19.6,180
0,-1,21,181
0,-1,29.3,182
0,-1,26.3,183
0,-1,22.1,184
0,-1,25.6,185
0,-1,18.7,186
0,-1,21.8,187
0,-1,21.7,188
0,-1,18.8,189
0,-1,19.7,190
0,-1,21.4,191
0,-1,24.2,192
0,-1,14.5,193
0,-1,15.6,194
0,-1,37.7,195
0,-1,24.5,196
0,-1,23.2,197
0,-1,15.2,198
0,-1,14.9,199
0,-1,25.9,200
0,-1,31.1,201
0,-1,20,202
0,-1,12.9,203
0,-1,16.8,204
0,-1,17.4,205
0,-1,22.9,206
0,-1,19.1,207
0,-1,11.9,208
0,-1,22,209
0,-1,18.9,210
0,-1,30.8,211
0,-1,19.5,212
0,-1,25.7,213
0,-1,17.2,214
0,-1,23.1,215
0,-1,18.1,216
0,-1,16.2,217
0,-1,20.6,218
-1,-1,81,219
426,-1,41.32,220
6,-1,4.44,221
149,-1,45.43,222
-1,-1,38.6,223
2,-1,4.17,224
787,-1,41.95,225
156,-1,38.52,226
-1,-1,38.7,227
-1,-1,39,228
83,-1,8.08,229
12,-1,2.45,230
212,-1,42.91,231
270,-1,41.6,232
361,-1,42.72,233
0,-1,39.2,234
-1,-1,37.9,235
-1,-1,41.5,236
-1,-1,41,237
0,-1,26.1,238
1007,-1,34.01,239
34,-1,30.63,240
672,-1,34.06,241
586,-1,28.19,242
-1,-1,79.6,243
-1,-1,3.2,244
548,-1,20.27,245
392,-1,35.73,246
2407,-1,22.52,247
421,-1,37.83,248
632,-1,19.47,249
-1,-1,11.7,250
0,-1,11.7,251
0,-1,8.5,252
-1,-1,8.8,253
675,-1,34.16,254
606,-1,79.95,255
867,-1,52.32,256
-1,-1,24.36,257
174,-1,57.43,258
135,-1,14.42,259
-1,-1,70.6,260
-1,-1,11,261
1200,-1,42.58,262
523,-1,40.57,263
887,-1,65.36,264
88,-1,14.74,265
-1,-1,32.3,266
-1,-1,26.9,267
-1,-1,30.8,268
-1,-1,20,269
-1,-1,25.6,270
-1,-1,22.3,271
223,-1,70.35,272
-1,-1,23.3,273
-1,-1,24.5,274
-1,-1,25.3,275
-1,-1,24.9,276
-1,-1,23.9,277
-1,-1,25.7,278
-1,-1,26.1,279
-1,-1,30.7,280
5802,-1,32.04,281
-1,-1,37.4,282
-1,-1,32,283
